triage_id	created_at	board_id	factor_name	classification	strongest_layer	primary_decision	secondary_decisions_json	research_lane	next_action	needs_southbound_split	southbound_abs_rank_ic	southbound_unknown_abs_rank_ic	southbound_abs_rank_ic_gap	max_abs_rank_ic	layer_dispersion	run_dir	notes
layered_triage_20260524T173138Z_layer_board_20260524T172034Z	2026-05-24T17:31:38.146687+00:00	layer_board_20260524T172034Z	avg_trade_notional_bias	broad_candidate	small_illiquid_special	promote_broad_candidate	[]	large_southbound_research	Promote to controlled Gate C research with cost, capacity, and sample-out checks.	False	0.04190760544700912	0.00884075855755348	0.03306684688945564	0.05357855017791538	0.030654155421606766	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T053835Z_rc_20260329_avg_trade_notional_bias_2026	initial layer-aware factor decision
layered_triage_20260524T173138Z_layer_board_20260524T172034Z	2026-05-24T17:31:38.146687+00:00	layer_board_20260524T172034Z	avg_trade_notional_bias_change	broad_candidate	new_or_recent_listing	promote_broad_candidate	[]	large_southbound_research	Promote to controlled Gate C research with cost, capacity, and sample-out checks.	False	0.04624686089195266	0.03888614813022359	0.007360712761729067	0.08761966173658094	0.0704671157968613	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T053835Z_rc_20260329_avg_trade_notional_bias_change_2026	initial layer-aware factor decision
layered_triage_20260524T173138Z_layer_board_20260524T172034Z	2026-05-24T17:31:38.146687+00:00	layer_board_20260524T172034Z	order_notional_vs_trade_notional_gap_change	broad_candidate	large_liquid_core	promote_broad_candidate	[]	large_southbound_research	Promote to controlled Gate C research with cost, capacity, and sample-out checks.	False	0.04074106418890566	0.03447390956083136	0.006267154628074305	0.07350778284811757	0.052972559269023486	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260407T054957Z_rc_20260330_order_notional_vs_trade_notional_gap_2026	initial layer-aware factor decision
layered_triage_20260524T173138Z_layer_board_20260524T172034Z	2026-05-24T17:31:38.146687+00:00	layer_board_20260524T172034Z	order_trade_event_ratio	broad_candidate	new_or_recent_listing	promote_broad_candidate	[]	large_southbound_research	Promote to controlled Gate C research with cost, capacity, and sample-out checks.	False	0.023423255220590064	0.03455384779904183	0.011130592578451767	0.07209088419091182	0.016509138733197655	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T053835Z_rc_20260330_order_trade_event_ratio_2026	initial layer-aware factor decision
layered_triage_20260524T173138Z_layer_board_20260524T172034Z	2026-05-24T17:31:38.146687+00:00	layer_board_20260524T172034Z	order_trade_notional_ratio	broad_candidate	new_or_recent_listing	promote_broad_candidate	[]	large_southbound_research	Promote to controlled Gate C research with cost, capacity, and sample-out checks.	False	0.05244958626497834	0.021195231150825902	0.031254355114152435	0.11495065466855665	0.07946882457336293	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T053835Z_rc_20260330_order_trade_notional_ratio_2026	initial layer-aware factor decision
layered_triage_20260524T173138Z_layer_board_20260524T172034Z	2026-05-24T17:31:38.146687+00:00	layer_board_20260524T172034Z	order_unique_trade_participation_gap	broad_candidate	new_or_recent_listing	promote_broad_candidate	[]	large_southbound_research	Promote to controlled Gate C research with cost, capacity, and sample-out checks.	False	0.02203191107594796	0.03152077909588367	0.009488868019935707	0.08210541063330984	0.031814300179787286	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260407T054949Z_rc_20260330_order_unique_trade_participation_gap_2026	initial layer-aware factor decision
layered_triage_20260524T173138Z_layer_board_20260524T172034Z	2026-05-24T17:31:38.146687+00:00	layer_board_20260524T172034Z	order_lifecycle_churn	new_listing_dominant_watch	new_or_recent_listing	research_new_listing_family	"[""needs_southbound_split""]"	new_listing_research	Build listing-age and seasoning variants, then evaluate separately from mature listings.	True	0.08807504256749421	0.041175577134047465	0.046899465433446745	0.16476566094290415	0.12758260483229938	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T053835Z_rc_20260329_order_lifecycle_churn_2026	initial layer-aware factor decision
layered_triage_20260524T173138Z_layer_board_20260524T172034Z	2026-05-24T17:31:38.146687+00:00	layer_board_20260524T172034Z	order_lifecycle_churn_change	new_listing_dominant_watch	new_or_recent_listing	research_new_listing_family	"[""needs_southbound_split""]"	new_listing_research	Build listing-age and seasoning variants, then evaluate separately from mature listings.	True	0.06979500888473865	0.025073578616308812	0.04472143026842984	0.17201440016676392	0.16138545811951682	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T053835Z_rc_20260329_order_lifecycle_churn_change_2026	initial layer-aware factor decision
layered_triage_20260524T173138Z_layer_board_20260524T172034Z	2026-05-24T17:31:38.146687+00:00	layer_board_20260524T172034Z	order_notional_vs_trade_notional_gap	new_listing_dominant_watch	new_or_recent_listing	research_new_listing_family	[]	new_listing_research	Build listing-age and seasoning variants, then evaluate separately from mature listings.	False	0.06686270081553623	0.03730022953658548	0.02956247127895075	0.1504858614973695	0.11401646919225886	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260407T054954Z_rc_20260330_order_notional_vs_trade_notional_gap_2026	initial layer-aware factor decision
layered_triage_20260524T173138Z_layer_board_20260524T172034Z	2026-05-24T17:31:38.146687+00:00	layer_board_20260524T172034Z	order_trade_event_ratio_change	new_listing_dominant_watch	new_or_recent_listing	research_new_listing_family	[]	new_listing_research	Build listing-age and seasoning variants, then evaluate separately from mature listings.	False	0.03035212398521954	0.03443207861301574	0.004079954627796201	0.1874379012764341	0.1563147572002162	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T053835Z_rc_20260330_order_trade_event_ratio_change_2026	initial layer-aware factor decision
