scoreboard_id	created_at	factor_count	comparison_count	summary_path	notes
score_20260328T180324Z	2026-03-28T18:03:24.375714+00:00	3	3	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/score_20260328T180324Z/scoreboard_summary.json	three safe factor board
score_20260328T180440Z	2026-03-28T18:04:40.650361+00:00	3	3	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/score_20260328T180440Z/scoreboard_summary.json	three safe factor board v2
score_20260328T181645Z	2026-03-28T18:16:45.979857+00:00	3	3	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/score_20260328T181645Z/scoreboard_summary.json	three safe factor board with pre-eval
score_20260328T181932Z	2026-03-28T18:19:32.075294+00:00	4	6	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/score_20260328T181932Z/scoreboard_summary.json	four safe factors with pre-eval
score_20260329T060324Z	2026-03-29T06:03:24.587515+00:00	4	6	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/score_20260329T060324Z/scoreboard_summary.json	autoresearch cycle autoresearch_phase_a_v1
score_20260329T074817Z	2026-03-29T07:48:17.697666+00:00	4	6	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/score_20260329T074817Z/scoreboard_summary.json	four safe factors with mi
score_20260329T074817Z	2026-03-29T07:48:17.794293+00:00	4	6	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/score_20260329T074817Z/scoreboard_summary.json	autoresearch cycle autoresearch_phase_a_v1
score_20260329T074848Z	2026-03-29T07:48:48.666230+00:00	4	6	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/score_20260329T074848Z/scoreboard_summary.json	autoresearch cycle autoresearch_phase_a_v1
score_20260329T082238Z	2026-03-29T08:22:38.095468+00:00	8	28	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/score_20260329T082238Z/scoreboard_summary.json	autoresearch cycle autoresearch_phase_a_v1
score_20260329T085008Z	2026-03-29T08:50:08.241726+00:00	8	28	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/score_20260329T085008Z/scoreboard_summary.json	sanity after incomplete full-year runs
score_20260329T092005Z	2026-03-29T09:20:05.506884+00:00	8	28	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/score_20260329T092005Z/scoreboard_summary.json	full-year candidate board
score_20260329T092107Z	2026-03-29T09:21:07.467898+00:00	8	28	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/score_20260329T092107Z/scoreboard_summary.json	full-year candidate board rerun after completed comparisons
score_20260330T015937Z	2026-03-30T01:59:37.020426+00:00	8	28	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/score_20260330T015937Z/scoreboard_summary.json	baseline redundancy board
score_20260330T020023Z	2026-03-30T02:00:23.835947+00:00	8	28	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/score_20260330T020023Z/scoreboard_summary.json	baseline redundancy board rerun
